Date,US,EU,EM,EQUS,EQEU,EQEM,GOVUS,GOVEU,CBUS,CBEU,REUS,REEU,COM,CASH,SUM,ClockPerformance,EQUS_av,EQEU_av,EQEM_av,GOVUS_av,GOVEU_av,CBUS_av,CBEU_av,REUS_av,REEU_av,COM_av,CASH_av,Original,Overlay
01-Feb-05,3,4,4,0.28,0.29,0.09,0.00,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0408, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 , 0.50 , 0.50 
01-Mar-05,3,4,4,0.28,0.29,0.09,0.00,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0067, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Apr-05,3,4,3,0.28,0.29,0.11,0.00,0.04,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0201, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-May-05,4,5,3,0.23,0.00,0.11,0.05,0.32,0.00,0.00,0.05,0.02,0.17,0.07, 1.00 ,0.0208, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jun-05,1,8,1,0.33,0.05,0.12,0.00,0.29,0.05,0.10,0.05,0.02,0.00,0.00, 1.00 ,0.0236, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jul-05,1,8,1,0.33,0.05,0.12,0.00,0.29,0.05,0.10,0.05,0.02,0.00,0.00, 1.00 ,0.0296, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Aug-05,2,1,1,0.33,0.36,0.12,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.00, 1.00 ,-0.0072, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Sep-05,4,4,4,0.23,0.29,0.09,0.05,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0303, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Oct-05,3,4,3,0.28,0.29,0.11,0.00,0.04,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0434, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Nov-05,3,4,4,0.28,0.29,0.09,0.00,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0246, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Dec-05,3,4,4,0.28,0.29,0.09,0.00,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0177, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jan-06,4,4,4,0.23,0.29,0.09,0.05,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0263, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Feb-06,4,4,4,0.23,0.29,0.09,0.05,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0097, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Mar-06,3,4,4,0.28,0.29,0.09,0.00,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0190, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Apr-06,3,3,3,0.28,0.32,0.11,0.00,0.00,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0204, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-May-06,3,3,3,0.28,0.32,0.11,0.00,0.00,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0230, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jun-06,4,3,4,0.23,0.32,0.09,0.05,0.02,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0050, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jul-06,4,3,4,0.23,0.32,0.09,0.05,0.02,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0260, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Aug-06,4,3,4,0.23,0.32,0.09,0.05,0.02,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0004, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Sep-06,4,3,4,0.23,0.32,0.09,0.05,0.02,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0071, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Oct-06,4,3,3,0.23,0.32,0.11,0.05,0.00,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0382, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Nov-06,1,2,1,0.33,0.36,0.12,0.00,0.00,0.05,0.02,0.05,0.05,0.04,0.00, 1.00 ,0.0187, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Dec-06,8,2,2,0.08,0.36,0.12,0.23,0.00,0.13,0.00,0.00,0.05,0.05,0.00, 1.00 ,0.0124, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jan-07,1,2,1,0.33,0.36,0.12,0.00,0.00,0.05,0.02,0.05,0.05,0.04,0.00, 1.00 ,0.0218, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Feb-07,8,2,2,0.08,0.36,0.12,0.23,0.00,0.13,0.00,0.00,0.05,0.05,0.00, 1.00 ,-0.0017, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Mar-07,1,2,1,0.33,0.36,0.12,0.00,0.00,0.05,0.02,0.05,0.05,0.04,0.00, 1.00 ,0.0099, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Apr-07,4,3,3,0.23,0.32,0.11,0.05,0.00,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0160, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-May-07,4,3,3,0.23,0.32,0.11,0.05,0.00,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0138, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jun-07,3,3,3,0.28,0.32,0.11,0.00,0.00,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0260, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jul-07,3,3,4,0.28,0.32,0.09,0.00,0.02,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0180, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Aug-07,4,4,4,0.23,0.29,0.09,0.05,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0046, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Sep-07,4,4,4,0.23,0.29,0.09,0.05,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0360, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Oct-07,1,1,2,0.33,0.36,0.12,0.00,0.00,0.05,0.04,0.05,0.05,0.02,0.00, 1.00 ,0.0154, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Nov-07,4,4,4,0.23,0.29,0.09,0.05,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,-0.0389, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Dec-07,4,4,3,0.23,0.29,0.11,0.05,0.04,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0117, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jan-08,5,4,3,0.00,0.29,0.11,0.28,0.04,0.00,0.00,0.00,0.05,0.15,0.10, 1.00 ,-0.0028, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Feb-08,4,4,4,0.23,0.29,0.09,0.05,0.05,0.00,0.00,0.05,0.05,0.20,0.00, 1.00 ,0.0388, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Mar-08,5,4,4,0.00,0.29,0.09,0.28,0.05,0.00,0.00,0.00,0.05,0.15,0.10, 1.00 ,-0.0191, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Apr-08,5,4,3,0.00,0.29,0.11,0.28,0.04,0.00,0.00,0.00,0.05,0.15,0.10, 1.00 ,0.0119, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-May-08,5,4,3,0.00,0.29,0.11,0.28,0.04,0.00,0.00,0.00,0.05,0.15,0.10, 1.00 ,0.0066, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jun-08,5,4,4,0.00,0.29,0.09,0.28,0.05,0.00,0.00,0.00,0.05,0.15,0.10, 1.00 ,0.0032, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Jul-08,4,5,4,0.23,0.00,0.09,0.05,0.34,0.00,0.00,0.05,0.02,0.17,0.07, 1.00 ,-0.0190, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Aug-08,4,5,5,0.23,0.00,0.00,0.05,0.43,0.00,0.00,0.05,0.00,0.15,0.10, 1.00 ,-0.0009, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
01-Sep-08,5,5,5,0.00,0.00,0.00,0.28,0.43,0.00,0.00,0.00,0.00,0.10,0.20, 1.00 ,-0.0140, 0.24 , 0.24 , 0.09 , 0.05 , 0.11 , 0.03 , 0.04 , 0.04 , 0.04 , 0.10 , 0.01 ,,
