Date,US,EU,EM,EQUS,EQEU,EQEM,GOVUS,GOVEU,CBUS,CBEU,REUS,REEU,COM,CASH,SUM,EQUS_av,EQEU_av,EQEM_av,GOVUS_av,GOVEU_av,CBUS_av,CBEU_av,REUS_av,REEU_av,COM_av,CASH_av,Original,Overlay
01-Feb-05,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,50%,50%
01-Mar-05,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Apr-05,3,4,3,0.28,0.29,0.11,0,0.04,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-May-05,4,5,3,0.23,0,0.11,0.05,0.32,0,0,0.05,0.02,0.17,0.07,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jun-05,1,8,1,0.33,0.05,0.12,0,0.29,0.05,0.1,0.05,0.02,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jul-05,1,8,1,0.33,0.05,0.12,0,0.29,0.05,0.1,0.05,0.02,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Aug-05,2,1,1,0.33,0.36,0.12,0,0,0,0.05,0.05,0.05,0.05,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Sep-05,4,4,4,0.23,0.29,0.09,0.05,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Oct-05,3,4,3,0.28,0.29,0.11,0,0.04,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Nov-05,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Dec-05,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jan-06,4,4,4,0.23,0.29,0.09,0.05,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Feb-06,4,4,4,0.23,0.29,0.09,0.05,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Mar-06,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Apr-06,3,3,3,0.28,0.32,0.11,0,0,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-May-06,3,3,3,0.28,0.32,0.11,0,0,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jun-06,4,3,4,0.23,0.32,0.09,0.05,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jul-06,4,3,4,0.23,0.32,0.09,0.05,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Aug-06,4,3,4,0.23,0.32,0.09,0.05,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Sep-06,4,3,4,0.23,0.32,0.09,0.05,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Oct-06,4,3,3,0.23,0.32,0.11,0.05,0,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Nov-06,1,2,1,0.33,0.36,0.12,0,0,0.05,0.02,0.05,0.05,0.04,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Dec-06,8,2,2,0.08,0.36,0.12,0.23,0,0.13,0,0,0.05,0.05,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jan-07,1,2,1,0.33,0.36,0.12,0,0,0.05,0.02,0.05,0.05,0.04,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Feb-07,8,2,2,0.08,0.36,0.12,0.23,0,0.13,0,0,0.05,0.05,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Mar-07,1,2,1,0.33,0.36,0.12,0,0,0.05,0.02,0.05,0.05,0.04,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
