,us equity,eu equity,em equity,us gov,eu gov,us corp,eu corp,us real,eu real,comm
31/12/2004,23.48710102,26.85673407,13.0130408,139.4128267,116.87,111.25,102.1199844,13.90171306,22.48497145,23.27381797
03/01/2005,23.37634031,27.03869026,13.01857334,139.4228233,117.21,111.25,102.1199844,13.73946495,22.33011705,22.9105189
04/01/2005,23.09069425,27.02049465,12.79523349,138.9329891,117.33,110.88,102.2507222,13.53296735,21.81274387,22.76765983
05/01/2005,22.93135428,26.86583188,12.6106214,139.0229586,117.03,111.1137,102.2644841,13.08309759,21.67294201,22.73506666
06/01/2005,23.0479445,27.08417931,12.44413566,139.1029316,117.56,111.3849,102.4502694,13.18388809,21.44818831,23.10561885
07/01/2005,23.0149106,27.15696179,12.46117006,139.0229586,117.63,111.4653,102.5259597,13.15438843,21.55901865,23.06292639
10/01/2005,23.12372815,27.12966836,12.48468335,139.1129282,117.77,111.395,102.6360547,13.11259725,21.69694892,23.12489932
11/01/2005,22.96438817,26.86583188,12.53090917,139.3628436,117.91,111.3347,102.6360547,12.9798488,21.82047357,23.23993944
12/01/2005,23.04017182,26.62019102,12.54270221,139.4428166,117.78,111.6562,102.6566975,12.91839118,22.15809359,23.22148528
13/01/2005,22.85557063,26.73846255,12.60880149,139.822688,118.19,111.6562,102.8562446,12.91839118,22.04693775,23.60938989
14/01/2005,22.9760472,26.83853845,12.68465551,139.6227557,118.28,111.847,102.8493637,13.07818098,22.02830233,23.48636216
17/01/2005,22.9760472,26.95680998,12.77113782,139.6227557,118.28,111.5557,102.9319349,13.07818098,22.02789546,23.48636216
18/01/2005,23.21505716,27.01139684,12.68844093,139.822688,118.21,111.395,102.9525777,13.20601283,22.09600617,23.37756524
19/01/2005,22.97216086,26.98410341,12.71137184,139.902661,118.21,111.9374,103.0213871,13.21830435,22.16924262,23.45633972
20/01/2005,22.83225258,26.75665817,12.60741835,140.0925967,118.21,111.7265,102.7874353,13.17651317,22.06728121,23.37976872
21/01/2005,22.69234431,26.7930494,12.63566342,140.2625392,118.24,111.9173,102.8837684,13.1888047,22.09576205,23.52960549
24/01/2005,22.64765139,26.77485379,12.67955975,140.4124884,118.24,112.3091,103.0213871,13.08309759,22.12375383,23.67374992
25/01/2005,22.71177602,26.96590779,12.69251754,140.0026271,118.54,112.4498,103.0626727,12.83726712,22.03741539,23.74563852
26/01/2005,22.77978698,26.92951655,12.81139432,139.9826339,118.2,112.4003,102.9938634,12.79793425,22.32523543,23.72571537
27/01/2005,22.81865039,27.03869026,12.83898422,139.8826677,118.03,112.2291,102.9044112,12.70697697,22.29309359,23.54172464
28/01/2005,22.81865039,26.92951655,12.88339012,140.3425121,118.19,112.4708,103.0901965,12.72664341,22.19699028,23.34377852
31/01/2005,22.96050183,27.19335303,13.04609044,140.3824986,118.3,112.7428,103.2140534,12.71189358,22.04205451,23.51666003
01/02/2005,23.10623962,27.42989608,13.03684528,140.4024918,118.45,111.8161,103.2278152,12.80530916,22.18104182,23.31256252
02/02/2005,23.17619375,27.54816761,13.07557305,140.4024918,118.4,112.2593,103.1865296,12.94789083,22.38227849,23.16566373
03/02/2005,23.14510302,27.40260265,13.14290987,140.2725358,118.23,112.1485,103.138363,12.98722371,22.30074191,22.99682194
04/02/2005,23.36273811,27.72102599,13.22371406,140.9223159,118.75,112.7025,103.3998386,13.16422165,22.32596698,22.94797809
07/02/2005,23.33164739,27.85749313,13.26710081,141.1422415,118.58,112.763,103.468648,13.11997216,22.24597732,22.82164513
08/02/2005,23.35885177,27.91207999,13.22254931,141.2721975,118.85,113.0954,103.5030527,13.15193012,22.2083818,22.93136017
09/02/2005,23.18396643,27.81200408,13.28311605,141.6820589,119.09,113.4077,103.6406714,13.23551248,22.32157443,22.97533799
10/02/2005,23.26752276,27.77561285,13.27226936,141.0922584,119.17,113.4782,103.688838,13.33630298,22.44046078,23.34359489
11/02/2005,23.46766932,28.06674275,13.33414644,140.8723328,119.02,112.9644,103.6750761,13.37563585,22.52777408,23.39409135
14/02/2005,23.45018078,28.04854714,13.50944056,141.0722652,118.88,112.8335,103.6131477,13.37809416,22.87841472,23.53529782
15/02/2005,23.53762345,28.16681866,13.55013384,140.9023227,118.67,112.8738,103.5305764,13.43709347,22.94375791,23.62986391
16/02/2005,23.55316881,27.97576466,13.54481969,140.502458,118.52,112.4507,103.4136005,13.51575922,22.90901128,23.65015431
17/02/2005,23.36273811,27.98486247,13.58158196,140.372502,118.31,112.3399,103.3379102,13.505926,23.01927363,23.68504277
18/02/2005,23.39382884,28.05764495,13.64549734,139.8426812,117.75,111.6851,102.9732206,13.38792738,23.15809576,23.81165116
21/02/2005,23.39382884,27.97576466,13.67527114,139.8426812,117.59,111.8261,102.8700065,13.38792738,22.58677011,23.81165116
22/02/2005,23.04600133,27.76651504,13.77179938,139.7527117,117.47,111.6247,102.9181731,13.00443184,22.57952865,24.52778276
23/02/2005,23.21117082,27.66643913,13.76037032,139.8526779,117.46,112.0496,102.9732206,12.95526575,22.5927104,24.70929458
24/02/2005,23.36468128,27.57546103,13.91091361,139.7427151,117.57,112.1305,102.8562446,12.96509897,22.5007596,24.57681024
25/02/2005,23.59591856,27.94847123,14.01413914,139.8026948,117.25,111.7766,102.9319349,13.15193012,22.5110127,24.89346894
28/02/2005,23.44046493,27.9211778,14.1843375,139.2928673,117.62,111.6452,103.035149,13.11505555,22.71094657,25.17799353
